observed_path,request_count,total_value,average_cycle_hours,departments,categories,share_pct
Submitted → Manager → Director → Security → Legal → Exception → Finance → PO Created → Payment,3,274074.8,108.69666666666667,3,2,0.03529411764705882
Submitted → Manager → Vendor Validation → Legal → Procurement → Rejected,3,12336.49,55.70666666666667,3,2,0.03529411764705882
Submitted → Manager → Returned → Resubmitted → Director → Bid Confirmed → Finance → PO Created → Payment,3,101096.19,114.68666666666667,2,2,0.03529411764705882
Submitted → Manager → Vendor Validation → Legal → Procurement → Bid Confirmed → Finance → PO Created → Payment,3,86286.37,130.16666666666666,2,1,0.03529411764705882
Submitted → Manager → Vendor Validation → Payment → PO Created,3,21630.08,63.75,3,2,0.03529411764705882
Submitted → Manager → Director → Vendor Validation → Security → Exception → Finance → PO Created → Payment,3,102982.48999999999,86.10333333333334,2,2,0.03529411764705882
Submitted → Vendor Validation → Returned → Resubmitted → Legal → Procurement → PO Created → Payment,3,1736.51,93.12333333333333,1,1,0.03529411764705882
Submitted → Procurement → Finance → PO Created → Payment,3,41828.11,60.776666666666664,3,1,0.03529411764705882
Submitted → Payment → PO Created,3,1683.98,15.37,3,2,0.03529411764705882
Submitted → Manager → Bid Confirmed → PO Created → Payment,3,78171.28,52.60333333333333,2,3,0.03529411764705882
Submitted → Manager → Vendor Validation → Procurement → Exception → Finance → PO Created → Payment,3,62066.78,83.36333333333333,3,3,0.03529411764705882
Submitted → Manager → Security → Legal → Bid Confirmed → Finance → PO Created → Payment,2,70795.16,120.185,2,2,0.023529411764705882
Submitted → Manager → Vendor Validation → Security → Legal → Procurement → Bid Confirmed → Finance → PO Created → Payment,2,45526.81,102.21000000000001,1,2,0.023529411764705882
Submitted → Manager → Security → Finance → Payment → PO Created,2,27112.34,52.11,2,1,0.023529411764705882
Submitted → Manager → Director → Procurement → Finance → PO Created → Payment,2,60586.05,119.56,2,1,0.023529411764705882
Submitted → Manager → Vendor Validation → Bid Confirmed → Finance → PO Created → Payment,2,49216.85,86.29,2,2,0.023529411764705882
Submitted → Manager → Director → Procurement → Finance → Rejected,2,72797.57,28.765,2,1,0.023529411764705882
Submitted → Manager → Director → Vendor Validation → Exception → Finance → PO Created → Payment,2,73791.77,103.19,2,2,0.023529411764705882
Submitted → Manager → Vendor Validation → Legal → Procurement → Exception → Finance → PO Created → Payment,2,44589.59,116.93,2,1,0.023529411764705882
Submitted → Manager → Vendor Validation → Security → Finance → Rejected,2,32004.699999999997,58.245000000000005,1,1,0.023529411764705882
Submitted → Manager → Security → Procurement → Finance → PO Created → Payment,2,27413.07,75.38499999999999,1,2,0.023529411764705882
Submitted → Manager → Legal → Bid Confirmed → Finance → PO Created → Payment,2,107855.11,93.03,1,1,0.023529411764705882
Submitted → Manager → Director → Security → Bid Confirmed → PO Created → Payment,2,86287.8,81.33,2,1,0.023529411764705882
Submitted → Manager → Vendor Validation → Legal → Exception → Finance → PO Created → Payment,2,48483.350000000006,68.135,2,1,0.023529411764705882
Submitted → Manager → Director → Legal → Procurement → Exception → Finance → PO Created → Payment,2,119790.29999999999,84.11,2,1,0.023529411764705882
Submitted → Manager → Vendor Validation → Finance → Rejected,2,34645.22,70.46000000000001,2,2,0.023529411764705882
Submitted → Manager → Procurement → Bid Confirmed → Finance → Rejected,2,44839.2,82.75,2,1,0.023529411764705882
Submitted → Manager → Returned → Resubmitted → Vendor Validation → Procurement → Bid Confirmed → Finance → PO Created → Payment,2,45671.46000000001,114.84,2,1,0.023529411764705882
Submitted → Manager → Director → Vendor Validation → Legal → Procurement → Bid Confirmed → PO Created → Payment,2,234559.66999999998,78.095,2,1,0.023529411764705882
Submitted → Manager → Returned → Resubmitted → Vendor Validation → Legal → Rejected,2,11300.970000000001,73.63,2,1,0.023529411764705882
Submitted → Manager → Director → Vendor Validation → Security → Legal → Exception → Finance → PO Created → Payment,2,133536.94,120.71,2,2,0.023529411764705882
Submitted → Security → Returned → Resubmitted → PO Created → Payment,2,1042.69,110.0,2,1,0.023529411764705882
Submitted → Vendor Validation → Returned → Resubmitted → Procurement → PO Created → Payment,2,1498.81,96.94,2,1,0.023529411764705882
Submitted → Manager → Bid Confirmed → Finance → Payment → PO Created,2,45651.259999999995,64.505,2,2,0.023529411764705882
Submitted → Vendor Validation → Returned → Resubmitted → Security → PO Created → Payment,2,1165.27,112.205,2,1,0.023529411764705882
Submitted → Manager → Returned → Resubmitted → Procurement → Exception → Finance → PO Created → Payment,2,47594.89,102.49000000000001,1,1,0.023529411764705882
Submitted → Manager → Director → Exception → Finance → Rejected,2,79249.68,57.894999999999996,2,1,0.023529411764705882
Submitted → Manager → Returned → Resubmitted → Security → Procurement → PO Created → Payment,2,2210.22,63.879999999999995,2,2,0.023529411764705882
Submitted → Manager → Returned → Resubmitted → Vendor Validation → Legal → Finance → PO Created → Payment,2,32149.03,137.16,2,2,0.023529411764705882
Submitted → Manager → Vendor Validation → Security → Procurement → Exception → Finance → PO Created → Payment,2,45378.81,99.75999999999999,2,1,0.023529411764705882
Submitted → Manager → Returned → Resubmitted → Security → Finance → Rejected,2,34090.79,121.82,2,2,0.023529411764705882
Submitted → Manager → Legal → Procurement → Finance → PO Created → Payment,2,25869.15,100.995,1,1,0.023529411764705882
Submitted → Manager → Vendor Validation → Security → Legal → Rejected,2,10047.11,80.96000000000001,2,1,0.023529411764705882
Submitted → Manager → Director → Vendor Validation → Security → Procurement → Bid Confirmed → Finance → Rejected,2,72496.56,126.945,2,2,0.023529411764705882
Submitted → Manager → Director → Vendor Validation → Legal → Procurement → Exception → Finance → PO Created → Payment,2,121826.68,86.0,2,1,0.023529411764705882
Submitted → Manager → Director → Legal → Bid Confirmed → PO Created → Payment,2,139470.27000000002,105.03999999999999,2,2,0.023529411764705882
Submitted → Manager → Director → Vendor Validation → Legal → Procurement → Finance → PO Created → Payment,2,155767.6,104.0,2,2,0.023529411764705882
Submitted → Manager → Returned → Resubmitted → Vendor Validation → Procurement → Rejected,2,8451.07,93.815,2,1,0.023529411764705882
Submitted → Director → Procurement → Bid Confirmed → Finance → PO Created → Payment,1,33117.28,86.45,1,1,0.011764705882352941
Submitted → Vendor Validation → Payment → PO Created,1,465.73,30.0,1,1,0.011764705882352941
Submitted → Vendor Validation → Procurement → Bid Confirmed → Finance → PO Created → Payment,1,24799.62,103.93,1,1,0.011764705882352941
Submitted → Director → Legal → Bid Confirmed → Finance → PO Created → Payment,1,91759.92,78.3,1,1,0.011764705882352941
Submitted → Vendor Validation → Rejected,1,120.0,44.4,1,1,0.011764705882352941
Submitted → Director → Security → Bid Confirmed → Finance → PO Created → Payment,1,28230.37,101.67,1,1,0.011764705882352941
Submitted → Manager → Director → Procurement → Bid Confirmed → Finance → Rejected,1,43841.93,59.28,1,1,0.011764705882352941
Submitted → Vendor Validation → Returned → Resubmitted → Legal → PO Created → Payment,1,8221.42,66.6,1,1,0.011764705882352941
Submitted → Manager → Vendor Validation → Security → Legal → Procurement → Payment → PO Created,1,4199.67,108.49,1,1,0.011764705882352941
Submitted → Vendor Validation → Returned → Resubmitted → Legal → Procurement → Rejected,1,413.69,72.64,1,1,0.011764705882352941
Submitted → Vendor Validation → Legal → Procurement → Rejected,1,719.52,46.2,1,1,0.011764705882352941
Submitted → Manager → Vendor Validation → Security → Legal → Payment → PO Created,1,1974.37,64.17,1,1,0.011764705882352941
Submitted → Vendor Validation → Legal → Finance → PO Created → Payment,1,10493.12,57.56,1,1,0.011764705882352941
Submitted → Manager → Vendor Validation → Security → Procurement → Bid Confirmed → PO Created → Payment,1,23455.65,102.14,1,1,0.011764705882352941
Submitted → Security → Procurement → PO Created → Payment,1,943.93,32.94,1,1,0.011764705882352941
Submitted → Security → Legal → Procurement → PO Created → Payment,1,454.22,46.76,1,1,0.011764705882352941
Submitted → Manager → Director → Legal → Procurement → Finance → PO Created → Payment,1,67505.71,62.06,1,1,0.011764705882352941
Submitted → Director → Bid Confirmed → PO Created → Payment,1,28820.03,43.5,1,1,0.011764705882352941
Submitted → Manager → Vendor Validation → Security → Legal → Procurement → Bid Confirmed → PO Created → Payment,1,22331.42,118.44,1,1,0.011764705882352941
Submitted → Vendor Validation → Security → Bid Confirmed → Finance → PO Created → Payment,1,20898.79,72.37,1,1,0.011764705882352941
Submitted → Manager → Vendor Validation → Security → Legal → Finance → PO Created → Payment,1,12603.85,78.25,1,1,0.011764705882352941
Submitted → Manager → Director → Legal → Procurement → Bid Confirmed → Finance → Rejected,1,160000.0,56.55,1,1,0.011764705882352941
Submitted → Vendor Validation → Returned → Resubmitted → Security → Procurement → PO Created → Payment,1,808.04,141.63,1,1,0.011764705882352941
Submitted → Manager → Exception → Finance → Payment → PO Created,1,21245.97,44.33,1,1,0.011764705882352941
Submitted → Manager → Vendor Validation → Procurement → Bid Confirmed → PO Created → Payment,1,21957.98,48.39,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Legal → Procurement → Bid Confirmed → Finance → PO Created → Payment,1,69977.02,93.27,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Exception → Finance → PO Created → Payment,1,22858.73,174.01,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Vendor Validation → Security → Bid Confirmed → Finance → PO Created → Payment,1,44909.23,164.74,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Vendor Validation → Procurement → Exception → Finance → Rejected,1,36981.26,87.74,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Vendor Validation → Procurement → Bid Confirmed → PO Created → Payment,1,36879.76,98.85,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Vendor Validation → Procurement → Bid Confirmed → Finance → Rejected,1,29801.82,139.1,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Vendor Validation → Legal → Procurement → Bid Confirmed → Finance → PO Created → Payment,1,55578.56,159.51,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Vendor Validation → Bid Confirmed → Finance → PO Created → Payment,1,26883.45,132.15,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Security → Legal → Exception → Finance → PO Created → Payment,1,59890.47,124.94,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Security → Bid Confirmed → Finance → PO Created → Payment,1,29740.26,100.86,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Procurement → Finance → PO Created → Payment,1,32495.0,115.67,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Procurement → Exception → Finance → PO Created → Payment,1,33751.52,115.47,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Legal → Procurement → Exception → Finance → PO Created → Payment,1,53971.62,124.72,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Legal → Bid Confirmed → Finance → PO Created → Payment,1,104332.16,146.5,1,1,0.011764705882352941
Submitted → Manager → Director → Vendor Validation → Security → Bid Confirmed → Finance → Rejected,1,88714.52,64.31,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Finance → PO Created → Payment,1,29582.06,120.99,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Director → Exception → Finance → PO Created → Payment,1,30141.65,75.48,1,1,0.011764705882352941
Submitted → Manager → Director → Vendor Validation → Security → Exception → Finance → Rejected,1,32370.89,181.05,1,1,0.011764705882352941
Submitted → Manager → Director → Vendor Validation → Security → Finance → PO Created → Payment,1,26739.45,79.45,1,1,0.011764705882352941
Submitted → Manager → Procurement → Payment → PO Created,1,3148.68,59.12,1,1,0.011764705882352941
Submitted → Manager → Procurement → Exception → Finance → Rejected,1,21217.51,75.42,1,1,0.011764705882352941
Submitted → Manager → Director → Vendor Validation → Security → Procurement → Bid Confirmed → PO Created → Payment,1,32850.6,99.6,1,1,0.011764705882352941
Submitted → Manager → Legal → Procurement → Rejected,1,9731.59,43.65,1,1,0.011764705882352941
Submitted → Manager → Legal → Procurement → Payment → PO Created,1,1823.89,124.25,1,1,0.011764705882352941
Submitted → Manager → Legal → Procurement → Exception → Finance → PO Created → Payment,1,20041.0,58.3,1,1,0.011764705882352941
Submitted → Manager → Director → Vendor Validation → Security → Procurement → Exception → Finance → Rejected,1,46808.73,73.96,1,1,0.011764705882352941
Submitted → Manager → Director → Vendor Validation → Security → Procurement → Finance → PO Created → Payment,1,29173.85,101.71,1,1,0.011764705882352941
Submitted → Manager → Returned → Resubmitted → Exception → Finance → Rejected,1,20467.26,124.19,1,1,0.011764705882352941
