request_id,expected_path,observed_path,expected_steps,actual_steps,missing_steps,extra_steps,sequence_issues,step_count,expected_step_count,rework_count,exception_count,cycle_time_hours,has_unusual_sequence,variant_frequency,rare_path,drift_score,violation_points,ordering_points,rework_points,exception_points,rare_path_points,violation_count,critical_violation_count,high_violation_count,aligned
PR-11117,Submitted → Manager → Vendor Validation → Security → Legal → Procurement → Bid Confirmed → Finance → PO Created → Payment,Submitted → Manager → Security → Legal → Bid Confirmed → Finance → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Security Review"", ""Legal Review"", ""Procurement Review"", ""Competitive Bid Confirmed"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Legal Review"", ""Competitive Bid Confirmed"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Vendor Validation"", ""Procurement Review""]",[],[],8,10,0,0,174.04,False,2,True,32,28,0,0,0,4,2,0,2,False
PR-13198,Submitted → Manager → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],4,4,0,0,67.85,False,1840,False,0,0,0,0,0,0,0,0,0,True
PR-18135,Submitted → Manager → Security → PO Created → Payment,Submitted → Manager → Security → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],5,5,0,0,59.74,False,1160,False,0,0,0,0,0,0,0,0,0,True
PR-13621,Submitted → Manager → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],4,4,0,0,23.14,False,1840,False,0,0,0,0,0,0,0,0,0,True
PR-14530,Submitted → Manager → Vendor Validation → Procurement → PO Created → Payment,Submitted → Manager → Procurement → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Vendor Validation""]",[],[],5,6,0,0,100.22,False,345,False,14,14,0,0,0,0,1,0,1,False
PR-17110,Submitted → Manager → Vendor Validation → Security → Procurement → PO Created → Payment,Submitted → Manager → Vendor Validation → Security → Procurement → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Security Review"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Security Review"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],7,7,0,0,96.16,False,192,False,0,0,0,0,0,0,0,0,0,True
PR-10786,Submitted → Manager → Vendor Validation → Security → Procurement → PO Created → Payment,Submitted → Manager → Vendor Validation → Security → Procurement → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Security Review"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Security Review"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],7,7,0,0,98.17,False,192,False,0,0,0,0,0,0,0,0,0,True
PR-11620,Submitted → Manager → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],4,4,0,0,9.01,False,1840,False,0,0,0,0,0,0,0,0,0,True
PR-15154,Submitted → Manager → Vendor Validation → Procurement → PO Created → Payment,Submitted → Manager → Vendor Validation → Procurement → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],6,6,0,0,38.46,False,609,False,0,0,0,0,0,0,0,0,0,True
PR-17345,Submitted → Manager → Security → PO Created → Payment,Submitted → Manager → Security → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],5,5,0,0,90.65,False,1160,False,0,0,0,0,0,0,0,0,0,True
PR-16190,Submitted → Manager → Procurement,Submitted → Cancelled,"[""Request Submitted"", ""Manager Approval"", ""Procurement Review""]","[""Request Submitted"", ""Cancelled""]","[""Manager Approval"", ""Procurement Review""]","[""Cancelled""]",[],2,3,0,0,1.53,False,253,False,18,18,0,0,0,0,2,0,1,False
PR-10560,Submitted → Manager → Vendor Validation → Procurement → Finance → PO Created → Payment,Submitted → Manager → Vendor Validation → Procurement → Finance → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],7,7,0,0,80.61,False,176,False,0,0,0,0,0,0,0,0,0,True
PR-18055,Submitted → Manager → Security → PO Created → Payment,Submitted → Manager → Security → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],5,5,0,0,36.04,False,1160,False,0,0,0,0,0,0,0,0,0,True
PR-11703,Submitted → Manager → Vendor Validation → Procurement → Finance → PO Created → Payment,Submitted → Manager → Vendor Validation → Procurement → Finance → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],7,7,0,0,68.44,False,176,False,0,0,0,0,0,0,0,0,0,True
PR-12029,Submitted → Manager → Vendor Validation → Legal → PO Created → Payment,Submitted → Manager → Legal → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Legal Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Legal Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Vendor Validation""]",[],[],5,6,0,0,174.07,False,14,False,14,14,0,0,0,0,1,0,1,False
PR-17758,Submitted → Manager → Security → Finance → PO Created → Payment,Submitted → Security → Finance → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Security Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Manager Approval""]",[],[],5,6,0,0,55.73,False,3,True,8,4,0,0,0,4,1,0,0,False
PR-11448,Submitted → Manager → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],4,4,0,0,37.6,False,1840,False,0,0,0,0,0,0,0,0,0,True
PR-17177,Submitted → Manager → Security → PO Created → Payment,Submitted → Manager → Security → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],5,5,0,0,48.63,False,1160,False,0,0,0,0,0,0,0,0,0,True
PR-14605,Submitted → Manager → Vendor Validation → Procurement → PO Created → Payment,Submitted → Manager → Vendor Validation → Procurement → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],6,6,0,0,71.17,False,609,False,0,0,0,0,0,0,0,0,0,True
PR-16998,Submitted → Manager,Submitted → Cancelled,"[""Request Submitted"", ""Manager Approval""]","[""Request Submitted"", ""Cancelled""]","[""Manager Approval""]","[""Cancelled""]",[],2,2,0,0,26.45,False,253,False,4,4,0,0,0,0,1,0,0,False
PR-14760,Submitted → Manager → Vendor Validation → Security → Procurement → PO Created → Payment,Submitted → Manager → Vendor Validation → Security → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Security Review"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Procurement Review""]",[],[],6,7,0,0,58.59,False,170,False,14,14,0,0,0,0,1,0,1,False
PR-11678,Submitted → Manager → PO Created → Payment,Submitted → Manager → Returned → Resubmitted → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Returned for Revision"", ""Request Resubmitted"", ""Purchase Order Created"", ""Payment Authorized""]",[],"[""Returned for Revision"", ""Request Resubmitted""]",[],6,4,1,0,54.07,False,74,False,5,0,0,5,0,0,0,0,0,True
PR-11230,Submitted → Manager → Security → PO Created → Payment,Submitted → Manager → Security → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],5,5,0,0,82.3,False,1160,False,0,0,0,0,0,0,0,0,0,True
PR-16693,Submitted → Vendor Validation → Security → PO Created → Payment,Submitted → Vendor Validation → Returned → Resubmitted → Security → PO Created → Payment,"[""Request Submitted"", ""Vendor Validation"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Vendor Validation"", ""Returned for Revision"", ""Request Resubmitted"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],"[""Returned for Revision"", ""Request Resubmitted""]",[],7,5,1,0,105.14,False,2,True,9,0,0,5,0,4,0,0,0,True
PR-18295,Submitted → Manager → Vendor Validation → Procurement → PO Created → Payment,Submitted → Manager → Procurement → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Vendor Validation""]",[],[],5,6,0,0,36.08,False,345,False,14,14,0,0,0,0,1,0,1,False
PR-10654,Submitted → PO Created → Payment,Submitted → PO Created → Payment,"[""Request Submitted"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],3,3,0,0,36.83,False,304,False,0,0,0,0,0,0,0,0,0,True
PR-10254,Submitted → Manager → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],4,4,0,0,37.46,False,1840,False,0,0,0,0,0,0,0,0,0,True
PR-14181,Submitted → Manager → Bid Confirmed → Finance → PO Created → Payment,Submitted → Manager → Bid Confirmed → Finance → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Competitive Bid Confirmed"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Competitive Bid Confirmed"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],6,6,0,0,58.47,False,68,False,0,0,0,0,0,0,0,0,0,True
PR-11462,Submitted → Manager → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],4,4,0,0,84.96,False,1840,False,0,0,0,0,0,0,0,0,0,True
PR-13982,Submitted → Manager → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],4,4,0,0,22.82,False,1840,False,0,0,0,0,0,0,0,0,0,True
PR-16797,Submitted → Manager → Vendor Validation → Procurement → PO Created → Payment,Submitted → Manager → Vendor Validation → Procurement → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],6,6,0,0,53.44,False,609,False,0,0,0,0,0,0,0,0,0,True
PR-14666,Submitted → Manager → Security → PO Created → Payment,Submitted → Manager → Security → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],5,5,0,0,97.34,False,1160,False,0,0,0,0,0,0,0,0,0,True
PR-13489,Submitted → Manager → Security → Finance → PO Created → Payment,Submitted → Manager → Security → Finance → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],6,6,0,0,64.31,False,260,False,0,0,0,0,0,0,0,0,0,True
PR-15944,Submitted → Manager → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],4,4,0,0,74.68,False,1840,False,0,0,0,0,0,0,0,0,0,True
PR-11954,Submitted → Manager → Security → PO Created → Payment,Submitted → Manager → Security → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],5,5,0,0,91.19,False,1160,False,0,0,0,0,0,0,0,0,0,True
PR-14250,Submitted → Manager → Vendor Validation → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Vendor Validation""]",[],[],4,5,0,0,23.04,False,1840,False,14,14,0,0,0,0,1,0,1,False
PR-10381,Submitted → Manager → Director → Procurement → Bid Confirmed → Finance → PO Created → Payment,Submitted → Manager → Director → Procurement → Bid Confirmed → Finance → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Director Approval"", ""Procurement Review"", ""Competitive Bid Confirmed"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Director Approval"", ""Procurement Review"", ""Competitive Bid Confirmed"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],8,8,0,0,87.37,False,49,False,0,0,0,0,0,0,0,0,0,True
PR-17132,Submitted → Manager → Procurement,Submitted → Cancelled,"[""Request Submitted"", ""Manager Approval"", ""Procurement Review""]","[""Request Submitted"", ""Cancelled""]","[""Manager Approval"", ""Procurement Review""]","[""Cancelled""]",[],2,3,0,0,4.17,False,253,False,18,18,0,0,0,0,2,0,1,False
PR-10511,Submitted → Manager → Security → PO Created → Payment,Submitted → Manager → Security → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],5,5,0,0,90.63,False,1160,False,0,0,0,0,0,0,0,0,0,True
PR-12685,Submitted → Manager → Security → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Security Review""]",[],[],4,5,0,0,22.14,False,1840,False,22,22,0,0,0,0,1,1,0,False
PR-16204,Submitted → Manager → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],4,4,0,0,65.21,False,1840,False,0,0,0,0,0,0,0,0,0,True
PR-13606,Submitted → Manager → Security → PO Created → Payment,Submitted → Manager → Security → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Security Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],5,5,0,0,56.82,False,1160,False,0,0,0,0,0,0,0,0,0,True
PR-15020,Submitted → Manager → Rejected,Submitted → Manager → Returned → Resubmitted → Rejected,"[""Request Submitted"", ""Manager Approval"", ""Rejected""]","[""Request Submitted"", ""Manager Approval"", ""Returned for Revision"", ""Request Resubmitted"", ""Rejected""]",[],"[""Returned for Revision"", ""Request Resubmitted""]",[],5,3,1,0,56.09,False,6,True,9,0,0,5,0,4,0,0,0,True
PR-14379,Submitted → Manager → Bid Confirmed → Finance → PO Created → Payment,Submitted → Manager → Bid Confirmed → Finance → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Competitive Bid Confirmed"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Competitive Bid Confirmed"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],6,6,0,0,31.45,False,68,False,0,0,0,0,0,0,0,0,0,True
PR-16091,Submitted → Manager → Rejected,Submitted → Manager → Rejected,"[""Request Submitted"", ""Manager Approval"", ""Rejected""]","[""Request Submitted"", ""Manager Approval"", ""Rejected""]",[],[],[],3,3,0,0,11.96,False,112,False,0,0,0,0,0,0,0,0,0,True
PR-16804,Submitted → Manager → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],4,4,0,0,28.12,False,1840,False,0,0,0,0,0,0,0,0,0,True
PR-12923,Submitted → Manager → Vendor Validation → Procurement → PO Created → Payment,Submitted → Vendor Validation → Procurement → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Vendor Validation"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Manager Approval""]",[],[],5,6,0,0,41.81,False,84,False,4,4,0,0,0,0,1,0,0,False
PR-14692,Submitted → Manager → Vendor Validation → Legal → PO Created → Payment,Submitted → Manager → Vendor Validation → Legal → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Legal Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Legal Review"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],6,6,0,0,78.55,False,131,False,0,0,0,0,0,0,0,0,0,True
PR-10789,Submitted → Manager → Vendor Validation → Security → Legal → Procurement → PO Created → Payment,Submitted → Manager → Vendor Validation → Legal → Procurement → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Security Review"", ""Legal Review"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Legal Review"", ""Procurement Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Security Review""]",[],[],7,8,0,0,43.57,False,74,False,22,22,0,0,0,0,1,1,0,False
PR-10724,Submitted → Manager → Procurement → Finance → PO Created → Payment,Submitted → Manager → Procurement → Finance → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Procurement Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Procurement Review"", ""Finance Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],6,6,0,0,61.75,False,155,False,0,0,0,0,0,0,0,0,0,True
PR-11896,Submitted → Manager → Vendor Validation → Legal → PO Created → Payment,Submitted → Manager → Legal → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Vendor Validation"", ""Legal Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Legal Review"", ""Purchase Order Created"", ""Payment Authorized""]","[""Vendor Validation""]",[],[],5,6,0,0,45.82,False,14,False,14,14,0,0,0,0,1,0,1,False
PR-10658,Submitted → Manager → PO Created → Payment,Submitted → Manager → PO Created → Payment,"[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]","[""Request Submitted"", ""Manager Approval"", ""Purchase Order Created"", ""Payment Authorized""]",[],[],[],4,4,0,0,67.7,False,1840,False,0,0,0,0,0,0,0,0,0,True
