violation_id,request_id,rule_id,rule_name,required_step,severity,violation_type,evidence,amount_at_risk
VIO-000039,PR-18407,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,2816.22
VIO-000040,PR-11900,RULE-007,Competitive bid evidence,Competitive Bid Confirmed,High,Missing required step,Competitive Bid Confirmed was required but not observed,67505.71
VIO-000041,PR-13163,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0470 approved $9,777 with a $0 limit",9777.28
VIO-000042,PR-13163,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,9777.28
VIO-000043,PR-16422,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,6181.32
VIO-000044,PR-16422,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,6181.32
VIO-000045,PR-16422,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,6181.32
VIO-000046,PR-12196,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,9847.48
VIO-000047,PR-13309,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,3713.2
VIO-000048,PR-16910,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,8719.87
VIO-000049,PR-12855,RULE-017,Urgent purchase rationale,DOCUMENTED_URGENCY,Medium,Undocumented urgency,Urgent routing was used without rationale,8975.83
VIO-000050,PR-10246,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1435.69
VIO-000051,PR-16311,RULE-012,PO before payment,PO_BEFORE_PAYMENT,Critical,Incorrect sequence,Payment was authorized before a purchase order was created,5543.24
VIO-000052,PR-11105,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,2805.51
VIO-000053,PR-18100,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,4291.3
VIO-000054,PR-15211,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,23066.79
VIO-000055,PR-14089,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,9813.29
VIO-000056,PR-15207,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,24135.46
VIO-000057,PR-15207,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,24135.46
VIO-000058,PR-15207,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,24135.46
VIO-000059,PR-15207,RULE-007,Competitive bid evidence,Competitive Bid Confirmed,High,Missing required step,Competitive Bid Confirmed was required but not observed,24135.46
VIO-000060,PR-15207,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,24135.46
VIO-000061,PR-15207,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,24135.46
VIO-000062,PR-10872,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,6338.41
VIO-000063,PR-16903,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,9425.52
VIO-000064,PR-16903,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,9425.52
VIO-000065,PR-12177,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,6761.29
VIO-000066,PR-12177,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,6761.29
VIO-000067,PR-12177,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,6761.29
VIO-000068,PR-12177,RULE-013,International vendor legal review,Legal Review,High,Missing required step,Legal Review was required but not observed,6761.29
VIO-000069,PR-14017,RULE-007,Competitive bid evidence,Competitive Bid Confirmed,High,Missing required step,Competitive Bid Confirmed was required but not observed,62270.44
VIO-000070,PR-11729,RULE-013,International vendor legal review,Legal Review,High,Missing required step,Legal Review was required but not observed,2923.59
VIO-000071,PR-10798,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,2347.18
VIO-000072,PR-10450,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0540 approved $1,258 with a $0 limit",1258.39
VIO-000073,PR-10450,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,1258.39
VIO-000074,PR-17641,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,13139.69
VIO-000075,PR-15697,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0763 approved $13,510 with a $0 limit",13510.33
VIO-000076,PR-15697,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,13510.33
VIO-000077,PR-14850,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,8259.88
VIO-000078,PR-14850,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,8259.88
VIO-000079,PR-15087,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,5066.4
VIO-000080,PR-11656,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,45183.94
VIO-000081,PR-11656,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,45183.94
VIO-000082,PR-11656,RULE-003,Director approval,Director Approval,High,Missing required step,Director Approval was required but not observed,45183.94
VIO-000083,PR-11656,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,45183.94
VIO-000084,PR-11656,RULE-007,Competitive bid evidence,Competitive Bid Confirmed,High,Missing required step,Competitive Bid Confirmed was required but not observed,45183.94
VIO-000085,PR-15490,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,1371.55
VIO-000086,PR-14297,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,3342.08
VIO-000087,PR-12942,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0434 approved $12,377 with a $0 limit",12376.91
VIO-000088,PR-12942,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,12376.91
VIO-000089,PR-12942,RULE-012,PO before payment,PO_BEFORE_PAYMENT,Critical,Incorrect sequence,Payment was authorized before a purchase order was created,12376.91
VIO-000090,PR-11496,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,7211.34
VIO-000091,PR-15828,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,5799.82
VIO-000092,PR-17838,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,19756.87
VIO-000093,PR-13468,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,3097.6
VIO-000094,PR-18090,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,3134.76
VIO-000095,PR-18090,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3134.76
VIO-000096,PR-14591,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,14375.01
VIO-000097,PR-14591,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,14375.01
VIO-000098,PR-14591,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,14375.01
VIO-000099,PR-14591,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,14375.01
VIO-000100,PR-14591,RULE-013,International vendor legal review,Legal Review,High,Missing required step,Legal Review was required but not observed,14375.01
VIO-000101,PR-14534,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,14612.43
VIO-000102,PR-15191,RULE-017,Urgent purchase rationale,DOCUMENTED_URGENCY,Medium,Undocumented urgency,Urgent routing was used without rationale,6002.15
VIO-000103,PR-17626,RULE-014,High-risk security review,Security Review,Critical,Missing required step,Security Review was required but not observed,12206.44
VIO-000104,PR-17430,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1732.07
VIO-000105,PR-16795,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1204.07
VIO-000106,PR-16862,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,36063.72
VIO-000107,PR-17870,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,4580.84
VIO-000108,PR-15939,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,13221.13
VIO-000109,PR-12676,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,9250.56
VIO-000110,PR-12723,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1603.25
VIO-000111,PR-17502,RULE-012,PO before payment,PO_BEFORE_PAYMENT,Critical,Incorrect sequence,Payment was authorized before a purchase order was created,9693.16
VIO-000112,PR-13510,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,13268.89
VIO-000113,PR-12881,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,650.28
VIO-000114,PR-13677,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,11337.68
VIO-000115,PR-14742,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,3344.75
VIO-000116,PR-14742,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3344.75
VIO-000117,PR-14742,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,3344.75
VIO-000118,PR-14742,RULE-014,High-risk security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3344.75
VIO-000119,PR-17874,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,26991.47
VIO-000120,PR-14332,RULE-012,PO before payment,PO_BEFORE_PAYMENT,Critical,Incorrect sequence,Payment was authorized before a purchase order was created,20391.21
VIO-000121,PR-16953,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,1446.89
VIO-000122,PR-16953,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,1446.89
VIO-000123,PR-17865,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,2540.92
VIO-000124,PR-16210,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,6183.77
VIO-000125,PR-12875,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,27720.06
VIO-000126,PR-10904,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,3020.77
VIO-000127,PR-10904,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3020.77
VIO-000128,PR-10904,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,3020.77
VIO-000129,PR-10904,RULE-014,High-risk security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3020.77
VIO-000130,PR-16651,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,8364.71
VIO-000131,PR-16651,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,8364.71
VIO-000132,PR-17188,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,11378.41
VIO-000133,PR-17188,RULE-014,High-risk security review,Security Review,Critical,Missing required step,Security Review was required but not observed,11378.41
VIO-000134,PR-18354,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,10684.49
VIO-000135,PR-18354,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,10684.49
VIO-000136,PR-14357,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,9798.37
VIO-000137,PR-14357,RULE-016,Travel finance threshold,Finance Approval,Medium,Missing required step,Finance Approval was required but not observed,9798.37
VIO-000138,PR-11423,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,1576.28
VIO-000139,PR-11423,RULE-014,High-risk security review,Security Review,Critical,Missing required step,Security Review was required but not observed,1576.28
VIO-000140,PR-13808,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,2547.66
VIO-000141,PR-12141,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,2620.81
VIO-000142,PR-12141,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,2620.81
VIO-000143,PR-12141,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,2620.81
VIO-000144,PR-11667,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,30141.65
VIO-000145,PR-17944,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1006.15
VIO-000146,PR-12954,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,19711.93
VIO-000147,PR-13643,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,22858.73
VIO-000148,PR-16859,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3202.89
VIO-000149,PR-17784,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0447 approved $2,911 with a $0 limit",2911.39
VIO-000150,PR-17784,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,2911.39
VIO-000151,PR-10706,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,35543.71
VIO-000152,PR-10706,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,35543.71
VIO-000153,PR-10706,RULE-003,Director approval,Director Approval,High,Missing required step,Director Approval was required but not observed,35543.71
VIO-000154,PR-10706,RULE-007,Competitive bid evidence,Competitive Bid Confirmed,High,Missing required step,Competitive Bid Confirmed was required but not observed,35543.71
VIO-000155,PR-10706,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,35543.71
VIO-000156,PR-12622,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,2165.21
VIO-000157,PR-12622,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,2165.21
VIO-000158,PR-12622,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,2165.21
VIO-000159,PR-16610,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,10741.79
VIO-000160,PR-15269,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1565.11
VIO-000161,PR-11926,RULE-007,Competitive bid evidence,Competitive Bid Confirmed,High,Missing required step,Competitive Bid Confirmed was required but not observed,21520.8
VIO-000162,PR-18183,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,7270.7
VIO-000163,PR-18183,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,7270.7
VIO-000164,PR-18183,RULE-017,Urgent purchase rationale,DOCUMENTED_URGENCY,Medium,Undocumented urgency,Urgent routing was used without rationale,7270.7
VIO-000165,PR-10836,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,46212.18
VIO-000166,PR-11958,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,44958.44
VIO-000167,PR-11958,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,44958.44
VIO-000168,PR-13827,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,56133.0
VIO-000169,PR-13827,RULE-005,High-value contract review,Legal Review,Critical,Missing required step,Legal Review was required but not observed,56133.0
VIO-000170,PR-10754,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0771 approved $11,949 with a $0 limit",11949.44
VIO-000171,PR-10754,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,11949.44
VIO-000172,PR-12107,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,29366.82
VIO-000173,PR-14934,RULE-014,High-risk security review,Security Review,Critical,Missing required step,Security Review was required but not observed,5859.85
VIO-000174,PR-14100,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3636.08
VIO-000175,PR-16454,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,9660.79
VIO-000176,PR-15996,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1506.97
VIO-000177,PR-10626,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0484 approved $6,018 with a $0 limit",6018.42
VIO-000178,PR-10626,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,6018.42
VIO-000179,PR-10626,RULE-013,International vendor legal review,Legal Review,High,Missing required step,Legal Review was required but not observed,6018.42
VIO-000180,PR-13908,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,47822.22
VIO-000181,PR-17200,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,3577.5
VIO-000182,PR-11436,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0495 approved $1,689 with a $0 limit",1688.98
VIO-000183,PR-11436,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,1688.98
VIO-000184,PR-15672,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,7733.57
VIO-000185,PR-17144,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,17327.24
VIO-000186,PR-15585,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,10334.82
VIO-000187,PR-15585,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,10334.82
VIO-000188,PR-13856,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,14253.64
VIO-000189,PR-18239,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,9683.39
VIO-000190,PR-12473,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,14702.41
VIO-000191,PR-10784,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-1045 approved $5,108 with a $0 limit",5107.58
VIO-000192,PR-10784,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,5107.58
VIO-000193,PR-12208,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,3717.7
VIO-000194,PR-13276,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,12749.74
VIO-000195,PR-13276,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,12749.74
VIO-000196,PR-13276,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,12749.74
VIO-000197,PR-12814,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,10132.84
VIO-000198,PR-12814,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,10132.84
VIO-000199,PR-12416,RULE-003,Director approval,Director Approval,High,Missing required step,Director Approval was required but not observed,40639.44
VIO-000200,PR-18174,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,4923.81
VIO-000201,PR-12280,RULE-008,Approval authorization,AUTHORIZED_APPROVER,Critical,Authorization limit exceeded,"EMP-0918 approved $7,180 with a $0 limit",7180.07
VIO-000202,PR-12280,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,7180.07
VIO-000203,PR-13253,RULE-009,Segregation of duties,NO_SELF_APPROVAL,Critical,Self-approval,Requester appears as an approver,8212.17
VIO-000204,PR-12258,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,20659.1
VIO-000205,PR-12258,RULE-002,Finance approval,Finance Approval,High,Missing required step,Finance Approval was required but not observed,20659.1
VIO-000206,PR-12258,RULE-007,Competitive bid evidence,Competitive Bid Confirmed,High,Missing required step,Competitive Bid Confirmed was required but not observed,20659.1
VIO-000207,PR-12258,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,20659.1
VIO-000208,PR-14077,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,5396.44
VIO-000209,PR-14077,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,5396.44
VIO-000210,PR-13140,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,4258.9
VIO-000211,PR-13140,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,4258.9
VIO-000212,PR-16189,RULE-017,Urgent purchase rationale,DOCUMENTED_URGENCY,Medium,Undocumented urgency,Urgent routing was used without rationale,16958.45
VIO-000213,PR-12231,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,19837.44
VIO-000214,PR-17834,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,33117.28
VIO-000215,PR-13102,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,7522.64
VIO-000216,PR-10509,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,1996.61
VIO-000217,PR-14824,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,7461.82
VIO-000218,PR-10451,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,3796.68
VIO-000219,PR-10451,RULE-015,Contractor procurement review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,3796.68
VIO-000220,PR-13898,RULE-004,Software security review,Security Review,Critical,Missing required step,Security Review was required but not observed,4835.49
VIO-000221,PR-18402,RULE-001,Manager approval,Manager Approval,Low,Missing required step,Manager Approval was required but not observed,2696.92
VIO-000222,PR-18402,RULE-006,Unapproved vendor review,Procurement Review,High,Missing required step,Procurement Review was required but not observed,2696.92
VIO-000223,PR-18402,RULE-010,Vendor validation,Vendor Validation,High,Missing required step,Vendor Validation was required but not observed,2696.92
