request_id,employee_id,department_id,vendor_id,request_date,purchase_type,amount,currency,description,urgency,risk_category,contract_required,security_review_required,competitive_bid_required,exception_documented,urgency_documented,final_status,source_system,system_period,department_name,business_unit,budget,vendor_name,vendor_category,approved_vendor,vendor_risk,contract_status,country,employee_name,employee_location
PR-16190,EMP-0008,D01,VEN-138,2025-01-01 15:00:00,Contractor,6453.61,USD,Contractor purchase for Engineering operations,Standard,Medium,True,False,False,True,True,Cancelled,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Contractor Partner 138,Contractor,True,Medium,Active,Canada,Northstar Employee 0008,Chicago
PR-10560,EMP-0605,D04,VEN-066,2025-01-01 15:00:00,Contractor,19976.08,USD,Contractor purchase for Marketing operations,Standard,High,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,Marketing,Revenue,12500000,Contractor Partner 066,Contractor,False,High,Pending,United States,Northstar Employee 0605,Chicago
PR-18055,EMP-0644,D04,VEN-086,2025-01-01 15:00:00,Software,2859.1,USD,Software purchase for Marketing operations,Urgent,Medium,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Marketing,Revenue,12500000,Software Partner 086,Software,True,Medium,Pending,United States,Northstar Employee 0644,Denver
PR-11703,EMP-1924,D10,VEN-121,2025-01-01 15:00:00,Contractor,18076.84,USD,Contractor purchase for Information Security operations,Standard,High,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,Information Security,Product & Technology,9500000,Contractor Partner 121,Contractor,True,High,Pending,United States,Northstar Employee 1924,New York
PR-12029,EMP-1715,D09,VEN-119,2025-01-01 15:00:00,Facilities,5323.0,USD,Facilities purchase for Legal operations,Priority,High,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Legal,Corporate,6000000,Facilities Partner 119,Facilities,True,High,Active,India,Northstar Employee 1715,Denver
PR-17758,EMP-0733,D04,VEN-131,2025-01-01 16:00:00,Software,11170.21,USD,Software purchase for Marketing operations,Standard,Low,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Marketing,Revenue,12500000,Software Partner 131,Software,True,Low,Active,United States,Northstar Employee 0733,New York
PR-11448,EMP-0375,D02,VEN-061,2025-01-01 16:00:00,Facilities,8279.5,USD,Facilities purchase for Product operations,Standard,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Product,Product & Technology,16000000,Facilities Partner 061,Facilities,True,Low,Expired,United States,Northstar Employee 0375,Chicago
PR-17177,EMP-0951,D05,VEN-022,2025-01-01 17:00:00,Software,4157.44,USD,Software purchase for Customer Success operations,Standard,Low,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Customer Success,Revenue,11000000,Software Partner 022,Software,True,Low,Active,United States,Northstar Employee 0951,Chicago
PR-14605,EMP-1893,D10,VEN-060,2025-01-01 17:00:00,Equipment,2026.1,USD,Equipment purchase for Information Security operations,Standard,Medium,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Information Security,Product & Technology,9500000,Equipment Partner 060,Equipment,False,Medium,Active,United States,Northstar Employee 1893,San Francisco
PR-16998,EMP-0578,D03,VEN-011,2025-01-01 17:00:00,Equipment,1267.58,USD,Equipment purchase for Sales operations,Priority,Low,False,False,False,True,True,Cancelled,ProcureFlow Classic,Before update,Sales,Revenue,24000000,Equipment Partner 011,Equipment,True,Low,Active,United States,Northstar Employee 0578,Austin
PR-14760,EMP-1874,D10,VEN-128,2025-01-01 17:00:00,AI Services,5831.92,USD,AI Services purchase for Information Security operations,Standard,High,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Information Security,Product & Technology,9500000,AIServices Partner 128,AI Services,False,Low,Active,Singapore,Northstar Employee 1874,San Francisco
PR-11678,EMP-0657,D04,VEN-053,2025-01-02 08:00:00,Travel,4164.8,USD,Travel purchase for Marketing operations,Standard,Medium,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Marketing,Revenue,12500000,Travel Partner 053,Travel,True,Medium,Active,United States,Northstar Employee 0657,Austin
PR-11230,EMP-0929,D05,VEN-116,2025-01-02 08:00:00,Software,4034.98,USD,Software purchase for Customer Success operations,Standard,Medium,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Customer Success,Revenue,11000000,Software Partner 116,Software,True,Medium,Active,United States,Northstar Employee 0929,Austin
PR-16693,EMP-0287,D02,VEN-094,2025-01-02 09:00:00,Equipment,481.03,USD,Equipment purchase for Product operations,Urgent,High,False,True,False,True,True,Paid,ProcureFlow Classic,Before update,Product,Product & Technology,16000000,Equipment Partner 094,Equipment,True,High,Pending,United States,Northstar Employee 0287,Austin
PR-18295,EMP-0129,D01,VEN-066,2025-01-02 09:00:00,Contractor,3141.49,USD,Contractor purchase for Engineering operations,Urgent,High,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Contractor Partner 066,Contractor,False,High,Pending,United States,Northstar Employee 0129,Chicago
PR-10654,EMP-0109,D01,VEN-090,2025-01-02 11:00:00,Equipment,878.8,USD,Equipment purchase for Engineering operations,Standard,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Equipment Partner 090,Equipment,True,Low,Active,United States,Northstar Employee 0109,Denver
PR-10254,EMP-1179,D06,VEN-051,2025-01-02 11:00:00,Professional Services,2555.01,USD,Professional Services purchase for Field Operations operations,Standard,Low,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,Field Operations,Operations,28000000,ProfessionalServices Partner 051,Professional Services,True,Low,Active,Canada,Northstar Employee 1179,New York
PR-14181,EMP-0836,D05,VEN-117,2025-01-02 12:00:00,Facilities,21188.09,USD,Facilities purchase for Customer Success operations,Priority,Medium,False,False,True,True,True,Paid,ProcureFlow Classic,Before update,Customer Success,Revenue,11000000,Facilities Partner 117,Facilities,True,Medium,Active,United States,Northstar Employee 0836,Denver
PR-11462,EMP-0625,D04,VEN-005,2025-01-02 12:00:00,Equipment,2234.85,USD,Equipment purchase for Marketing operations,Priority,Medium,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Marketing,Revenue,12500000,Equipment Partner 005,Equipment,True,Medium,Active,United States,Northstar Employee 0625,Austin
PR-13982,EMP-0715,D04,VEN-127,2025-01-02 13:00:00,Facilities,6300.87,USD,Facilities purchase for Marketing operations,Standard,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Marketing,Revenue,12500000,Facilities Partner 127,Facilities,True,Low,Active,India,Northstar Employee 0715,Denver
PR-16797,EMP-0697,D04,VEN-016,2025-01-02 13:00:00,Equipment,1505.1,USD,Equipment purchase for Marketing operations,Standard,Medium,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Marketing,Revenue,12500000,Equipment Partner 016,Equipment,False,Medium,Active,United States,Northstar Employee 0697,San Francisco
PR-14666,EMP-0433,D03,VEN-093,2025-01-02 13:00:00,AI Services,9919.45,USD,AI Services purchase for Sales operations,Priority,High,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Sales,Revenue,24000000,AIServices Partner 093,AI Services,True,Low,Active,United States,Northstar Employee 0433,New York
PR-13489,EMP-0127,D01,VEN-072,2025-01-02 14:00:00,Software,10860.91,USD,Software purchase for Engineering operations,Standard,Low,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Software Partner 072,Software,True,Low,Active,India,Northstar Employee 0127,New York
PR-15944,EMP-0155,D01,VEN-062,2025-01-02 15:00:00,Travel,2286.66,USD,Travel purchase for Engineering operations,Standard,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Travel Partner 062,Travel,True,Low,Active,United States,Northstar Employee 0155,Chicago
PR-11954,EMP-0125,D01,VEN-021,2025-01-02 15:00:00,AI Services,2942.24,USD,AI Services purchase for Engineering operations,Standard,High,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,AIServices Partner 021,AI Services,True,Medium,Pending,Germany,Northstar Employee 0125,New York
PR-14250,EMP-1748,D09,VEN-038,2025-01-02 15:00:00,Travel,1628.94,USD,Travel purchase for Legal operations,Standard,High,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Legal,Corporate,6000000,Travel Partner 038,Travel,True,High,Active,United States,Northstar Employee 1748,Denver
PR-10381,EMP-1168,D06,VEN-084,2025-01-02 15:00:00,Contractor,30192.49,USD,Contractor purchase for Field Operations operations,Standard,Medium,True,False,True,True,True,Paid,ProcureFlow Classic,Before update,Field Operations,Operations,28000000,Contractor Partner 084,Contractor,True,Low,Active,United Kingdom,Northstar Employee 1168,Austin
PR-17132,EMP-0196,D01,VEN-136,2025-01-02 15:00:00,Contractor,4629.17,USD,Contractor purchase for Engineering operations,Priority,Medium,True,False,False,True,True,Cancelled,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Contractor Partner 136,Contractor,True,Medium,Expired,Canada,Northstar Employee 0196,San Francisco
PR-10511,EMP-1220,D07,VEN-022,2025-01-02 15:00:00,Software,2766.9,USD,Software purchase for Finance operations,Priority,Low,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Finance,Corporate,8500000,Software Partner 022,Software,True,Low,Active,United States,Northstar Employee 1220,Chicago
PR-12685,EMP-1836,D10,VEN-131,2025-01-02 15:00:00,Software,4986.18,USD,Software purchase for Information Security operations,Urgent,Low,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Information Security,Product & Technology,9500000,Software Partner 131,Software,True,Low,Active,United States,Northstar Employee 1836,San Francisco
PR-16204,EMP-0266,D02,VEN-090,2025-01-02 16:00:00,Equipment,5107.36,USD,Equipment purchase for Product operations,Standard,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Product,Product & Technology,16000000,Equipment Partner 090,Equipment,True,Low,Active,United States,Northstar Employee 0266,New York
PR-13606,EMP-0350,D02,VEN-099,2025-01-02 16:00:00,Software,8036.88,USD,Software purchase for Product operations,Standard,Low,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Product,Product & Technology,16000000,Software Partner 099,Software,True,Low,Active,United States,Northstar Employee 0350,Chicago
PR-15020,EMP-0579,D03,VEN-079,2025-01-02 16:00:00,Professional Services,1686.92,USD,Professional Services purchase for Sales operations,Standard,Low,True,False,False,True,True,Rejected,ProcureFlow Classic,Before update,Sales,Revenue,24000000,ProfessionalServices Partner 079,Professional Services,True,Low,Active,United Kingdom,Northstar Employee 0579,Austin
PR-14379,EMP-1241,D07,VEN-132,2025-01-02 17:00:00,Professional Services,21785.61,USD,Professional Services purchase for Finance operations,Standard,Medium,True,False,True,True,True,Paid,ProcureFlow Classic,Before update,Finance,Corporate,8500000,ProfessionalServices Partner 132,Professional Services,True,Medium,Active,United States,Northstar Employee 1241,New York
PR-16091,EMP-1139,D06,VEN-017,2025-01-03 08:00:00,Equipment,2542.61,USD,Equipment purchase for Field Operations operations,Standard,Low,False,False,False,True,True,Rejected,ProcureFlow Classic,Before update,Field Operations,Operations,28000000,Equipment Partner 017,Equipment,True,Low,Active,United States,Northstar Employee 1139,New York
PR-16804,EMP-0805,D05,VEN-017,2025-01-03 08:00:00,Equipment,3004.35,USD,Equipment purchase for Customer Success operations,Priority,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Customer Success,Revenue,11000000,Equipment Partner 017,Equipment,True,Low,Active,United States,Northstar Employee 0805,Chicago
PR-12923,EMP-0119,D01,VEN-102,2025-01-03 09:00:00,Travel,7238.92,USD,Travel purchase for Engineering operations,Standard,High,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Travel Partner 102,Travel,False,High,Expired,United States,Northstar Employee 0119,Denver
PR-14692,EMP-1732,D09,VEN-013,2025-01-03 09:00:00,Professional Services,1689.66,USD,Professional Services purchase for Legal operations,Standard,High,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,Legal,Corporate,6000000,ProfessionalServices Partner 013,Professional Services,True,High,Active,India,Northstar Employee 1732,Austin
PR-10789,EMP-0183,D01,VEN-113,2025-01-03 10:00:00,Equipment,2233.86,USD,Equipment purchase for Engineering operations,Priority,High,False,True,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Equipment Partner 113,Equipment,False,High,Active,Singapore,Northstar Employee 0183,San Francisco
PR-10724,EMP-1367,D07,VEN-041,2025-01-03 10:00:00,Contractor,12925.99,USD,Contractor purchase for Finance operations,Urgent,Low,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,Finance,Corporate,8500000,Contractor Partner 041,Contractor,True,Low,Active,United States,Northstar Employee 1367,Denver
PR-11896,EMP-0062,D01,VEN-019,2025-01-03 10:00:00,Facilities,1775.8,USD,Facilities purchase for Engineering operations,Priority,High,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Facilities Partner 019,Facilities,True,High,Active,Ireland,Northstar Employee 0062,Austin
PR-10658,EMP-0437,D03,VEN-046,2025-01-03 10:00:00,Professional Services,3913.73,USD,Professional Services purchase for Sales operations,Standard,Medium,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,Sales,Revenue,24000000,ProfessionalServices Partner 046,Professional Services,True,Medium,Active,Canada,Northstar Employee 0437,Austin
PR-13287,EMP-0174,D01,VEN-052,2025-01-03 12:00:00,Equipment,1976.4,USD,Equipment purchase for Engineering operations,Standard,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Equipment Partner 052,Equipment,True,Low,Pending,United States,Northstar Employee 0174,Chicago
PR-12121,EMP-0749,D04,VEN-122,2025-01-03 12:00:00,Travel,2080.63,USD,Travel purchase for Marketing operations,Standard,High,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Marketing,Revenue,12500000,Travel Partner 122,Travel,False,High,Active,Germany,Northstar Employee 0749,New York
PR-17747,EMP-0113,D01,VEN-099,2025-01-03 12:00:00,Software,7067.93,USD,Software purchase for Engineering operations,Urgent,Low,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Software Partner 099,Software,True,Low,Active,United States,Northstar Employee 0113,Austin
PR-18133,EMP-1100,D06,VEN-095,2025-01-03 13:00:00,Equipment,18277.18,USD,Equipment purchase for Field Operations operations,Standard,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Field Operations,Operations,28000000,Equipment Partner 095,Equipment,True,Low,Active,United States,Northstar Employee 1100,Chicago
PR-17103,EMP-1025,D06,VEN-037,2025-01-03 13:00:00,Travel,4344.07,USD,Travel purchase for Field Operations operations,Standard,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Field Operations,Operations,28000000,Travel Partner 037,Travel,True,Low,Active,United States,Northstar Employee 1025,New York
PR-11141,EMP-1974,D10,VEN-033,2025-01-03 13:00:00,Travel,3588.43,USD,Travel purchase for Information Security operations,Urgent,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Information Security,Product & Technology,9500000,Travel Partner 033,Travel,True,Low,Active,United States,Northstar Employee 1974,Austin
PR-14128,EMP-1454,D08,VEN-101,2025-01-03 13:00:00,Software,3245.89,USD,Software purchase for People operations,Urgent,High,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,People,Corporate,7500000,Software Partner 101,Software,False,High,Active,United States,Northstar Employee 1454,New York
PR-13357,EMP-0599,D03,VEN-064,2025-01-03 13:00:00,Travel,7810.23,USD,Travel purchase for Sales operations,Standard,Medium,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Sales,Revenue,24000000,Travel Partner 064,Travel,True,Medium,Active,United States,Northstar Employee 0599,San Francisco
PR-12597,EMP-1566,D08,VEN-004,2025-01-03 15:00:00,Software,4365.61,USD,Software purchase for People operations,Priority,High,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,People,Corporate,7500000,Software Partner 004,Software,True,High,Active,United States,Northstar Employee 1566,San Francisco
PR-13593,EMP-0196,D01,VEN-051,2025-01-03 15:00:00,Professional Services,38972.12,USD,Professional Services purchase for Engineering operations,Standard,Medium,True,False,True,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,ProfessionalServices Partner 051,Professional Services,True,Low,Active,Canada,Northstar Employee 0196,San Francisco
PR-15946,EMP-0549,D03,VEN-017,2025-01-03 15:00:00,Equipment,3186.36,USD,Equipment purchase for Sales operations,Standard,Low,False,False,False,True,True,Cancelled,ProcureFlow Classic,Before update,Sales,Revenue,24000000,Equipment Partner 017,Equipment,True,Low,Active,United States,Northstar Employee 0549,Denver
PR-14955,EMP-1210,D07,VEN-024,2025-01-03 16:00:00,Contractor,23622.55,USD,Contractor purchase for Finance operations,Standard,Medium,True,False,True,True,True,Paid,ProcureFlow Classic,Before update,Finance,Corporate,8500000,Contractor Partner 024,Contractor,True,Low,Pending,United States,Northstar Employee 1210,Austin
PR-13077,EMP-0353,D02,VEN-025,2025-01-03 16:00:00,AI Services,6360.9,USD,AI Services purchase for Product operations,Priority,High,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Product,Product & Technology,16000000,AIServices Partner 025,AI Services,True,Medium,Pending,Germany,Northstar Employee 0353,Denver
PR-17245,EMP-1244,D07,VEN-001,2025-01-03 16:00:00,AI Services,28135.81,USD,AI Services purchase for Finance operations,Standard,High,True,True,True,False,True,Rejected,ProcureFlow Classic,Before update,Finance,Corporate,8500000,AIServices Partner 001,AI Services,True,Low,Active,United States,Northstar Employee 1244,Denver
PR-15466,EMP-0275,D02,VEN-122,2025-01-03 16:00:00,Travel,2190.75,USD,Travel purchase for Product operations,Standard,High,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Product,Product & Technology,16000000,Travel Partner 122,Travel,False,High,Active,Germany,Northstar Employee 0275,San Francisco
PR-18182,EMP-0080,D01,VEN-055,2025-01-03 17:00:00,Software,21556.71,USD,Software purchase for Engineering operations,Standard,Medium,True,True,True,True,True,Rejected,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Software Partner 055,Software,True,Low,Active,Canada,Northstar Employee 0080,New York
PR-12317,EMP-1818,D10,VEN-132,2025-01-03 17:00:00,Professional Services,2789.73,USD,Professional Services purchase for Information Security operations,Standard,Medium,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,Information Security,Product & Technology,9500000,ProfessionalServices Partner 132,Professional Services,True,Medium,Active,United States,Northstar Employee 1818,Chicago
PR-10665,EMP-0158,D01,VEN-062,2025-01-03 17:00:00,Travel,1145.89,USD,Travel purchase for Engineering operations,Priority,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Travel Partner 062,Travel,True,Low,Active,United States,Northstar Employee 0158,Austin
PR-12551,EMP-1416,D08,VEN-055,2025-01-03 17:00:00,Software,6787.06,USD,Software purchase for People operations,Priority,Low,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,People,Corporate,7500000,Software Partner 055,Software,True,Low,Active,Canada,Northstar Employee 1416,San Francisco
PR-14148,EMP-0719,D04,VEN-069,2025-01-04 08:00:00,Facilities,5006.37,USD,Facilities purchase for Marketing operations,Priority,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Marketing,Revenue,12500000,Facilities Partner 069,Facilities,True,Low,Active,United States,Northstar Employee 0719,New York
PR-18240,EMP-0256,D02,VEN-002,2025-01-04 08:00:00,Professional Services,18990.5,USD,Professional Services purchase for Product operations,Standard,Medium,True,False,False,True,True,Rejected,ProcureFlow Classic,Before update,Product,Product & Technology,16000000,ProfessionalServices Partner 002,Professional Services,False,Medium,Active,United States,Northstar Employee 0256,New York
PR-14374,EMP-0069,D01,VEN-065,2025-01-04 09:00:00,Contractor,7207.89,USD,Contractor purchase for Engineering operations,Priority,Low,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,Engineering,Product & Technology,36000000,Contractor Partner 065,Contractor,True,Low,Pending,United States,Northstar Employee 0069,Austin
PR-10734,EMP-0662,D04,VEN-082,2025-01-04 10:00:00,Professional Services,2001.95,USD,Professional Services purchase for Marketing operations,Standard,Medium,True,False,False,True,True,Paid,ProcureFlow Classic,Before update,Marketing,Revenue,12500000,ProfessionalServices Partner 082,Professional Services,True,Medium,Active,United States,Northstar Employee 0662,Chicago
PR-10702,EMP-0968,D05,VEN-070,2025-01-04 11:00:00,Equipment,6409.72,USD,Equipment purchase for Customer Success operations,Priority,Medium,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,Customer Success,Revenue,11000000,Equipment Partner 070,Equipment,False,Medium,Active,United Kingdom,Northstar Employee 0968,Chicago
PR-15264,EMP-0732,D04,VEN-041,2025-01-04 11:00:00,Contractor,4182.12,USD,Contractor purchase for Marketing operations,Urgent,Low,True,False,False,True,False,Rejected,ProcureFlow Classic,Before update,Marketing,Revenue,12500000,Contractor Partner 041,Contractor,True,Low,Active,United States,Northstar Employee 0732,Chicago
PR-12356,EMP-1810,D10,VEN-085,2025-01-04 11:00:00,AI Services,5339.34,USD,AI Services purchase for Information Security operations,Priority,High,True,True,False,True,True,Paid,ProcureFlow Classic,Before update,Information Security,Product & Technology,9500000,AIServices Partner 085,AI Services,True,High,Active,United States,Northstar Employee 1810,San Francisco
PR-14176,EMP-1453,D08,VEN-090,2025-01-04 12:00:00,Equipment,6549.73,USD,Equipment purchase for People operations,Standard,Low,False,False,False,True,True,Paid,ProcureFlow Classic,Before update,People,Corporate,7500000,Equipment Partner 090,Equipment,True,Low,Active,United States,Northstar Employee 1453,Chicago
